user_id,age,job,marital,education,default,balance,housing_loan,vehicle_loan,contact,day,month,duration,campaign,pdays,previous,poutcome,term_deposit,Products
1,58,management,married,tertiary,no,2143,yes,no,unknown,5,may,261,1,-1,0,unknown,no,"Insta car loan,Sapphiro,loan against car,business loan,loan against securities,money multiplier FD,life insurance,new car loan,gold loan,Flexi cash,Fixed deposit,names,RubyX,recurring deposit,FD Xtra,Travel insurance,Insta PL,education loan,old car loan,vehicle insurance,Pradhan mantri awas yojana,Insta home loan,loan against property,Tax saving FD,home loan balance transfer,Manchester United,Emaralde"
2,44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,no,"life insurance,Emaralde,Fixed deposit,recurring deposit,Insta car loan,RubyX,gold loan,Insta home loan,Travel insurance,names,Pradhan mantri awas yojana,business loan,FD Xtra,home loan balance transfer,Tax saving FD,loan against securities,loan against car,Insta PL,vehicle insurance,new car loan,old car loan,Flexi cash,loan against property,Manchester United,Sapphiro,money multiplier FD,education loan"
3,33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,no,"Tax saving FD,business loan,FD Xtra,vehicle insurance,loan against car,Pradhan mantri awas yojana,Fixed deposit,Insta PL,new car loan,education loan,loan against property,names,money multiplier FD,loan against securities,Sapphiro,Manchester United,RubyX,recurring deposit,Insta home loan,Flexi cash,life insurance,Emaralde,home loan balance transfer,old car loan,gold loan,Travel insurance,Insta car loan"
4,47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,92,1,-1,0,unknown,no,"Insta PL,Flexi cash,loan against property,home loan balance transfer,FD Xtra,money multiplier FD,loan against car,Travel insurance,gold loan,Tax saving FD,new car loan,loan against securities,life insurance,names,Insta car loan,education loan,old car loan,RubyX,Manchester United,Pradhan mantri awas yojana,business loan,Insta home loan,Emaralde,Sapphiro,recurring deposit,Fixed deposit,vehicle insurance"
5,33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,no,"Manchester United,vehicle insurance,Emaralde,loan against property,FD Xtra,loan against securities,Pradhan mantri awas yojana,Tax saving FD,recurring deposit,loan against car,business loan,life insurance,Fixed deposit,home loan balance transfer,Insta car loan,money multiplier FD,RubyX,Sapphiro,Flexi cash,old car loan,Travel insurance,names,education loan,Insta PL,Insta home loan,gold loan,new car loan"
6,35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown,no,"life insurance,Fixed deposit,gold loan,money multiplier FD,Tax saving FD,recurring deposit,FD Xtra,names,home loan balance transfer,loan against securities,Insta home loan,Pradhan mantri awas yojana,new car loan,Insta car loan,Sapphiro,loan against car,Manchester United,Insta PL,Emaralde,vehicle insurance,loan against property,Flexi cash,Travel insurance,RubyX,education loan,business loan,old car loan"
7,28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,no,"new car loan,names,home loan balance transfer,old car loan,Tax saving FD,Insta PL,Emaralde,Insta car loan,Sapphiro,FD Xtra,education loan,life insurance,loan against car,loan against property,Manchester United,Pradhan mantri awas yojana,gold loan,Flexi cash,money multiplier FD,RubyX,loan against securities,Insta home loan,Travel insurance,business loan,recurring deposit,Fixed deposit,vehicle insurance"
8,42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no,"money multiplier FD,new car loan,Emaralde,Insta home loan,home loan balance transfer,loan against securities,Sapphiro,loan against property,recurring deposit,loan against car,Insta PL,Pradhan mantri awas yojana,gold loan,vehicle insurance,business loan,RubyX,Fixed deposit,Manchester United,Flexi cash,Tax saving FD,Insta car loan,life insurance,FD Xtra,old car loan,education loan,Travel insurance,names"
9,58,retired,married,primary,no,121,yes,no,unknown,5,may,50,1,-1,0,unknown,no,"loan against securities,Travel insurance,Tax saving FD,Emaralde,education loan,Insta PL,home loan balance transfer,Insta car loan,FD Xtra,life insurance,Fixed deposit,new car loan,Flexi cash,Insta home loan,Pradhan mantri awas yojana,Manchester United,RubyX,Sapphiro,loan against car,old car loan,loan against property,names,business loan,recurring deposit,money multiplier FD,gold loan,vehicle insurance"
10,43,technician,single,secondary,no,593,yes,no,unknown,5,may,55,1,-1,0,unknown,no,"new car loan,money multiplier FD,business loan,names,Tax saving FD,Sapphiro,Manchester United,recurring deposit,old car loan,Travel insurance,loan against property,life insurance,Pradhan mantri awas yojana,Flexi cash,RubyX,education loan,Emaralde,home loan balance transfer,loan against car,Insta PL,Insta car loan,loan against securities,Insta home loan,FD Xtra,Fixed deposit,gold loan,vehicle insurance"
11,41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown,no,"Flexi cash,loan against car,vehicle insurance,FD Xtra,names,Sapphiro,Insta PL,life insurance,loan against securities,Insta car loan,education loan,business loan,gold loan,RubyX,Fixed deposit,Tax saving FD,Manchester United,new car loan,loan against property,Pradhan mantri awas yojana,old car loan,money multiplier FD,recurring deposit,Insta home loan,home loan balance transfer,Travel insurance,Emaralde"
12,29,admin.,single,secondary,no,390,yes,no,unknown,5,may,137,1,-1,0,unknown,no,"old car loan,money multiplier FD,loan against securities,gold loan,Flexi cash,loan against property,education loan,Insta PL,vehicle insurance,Pradhan mantri awas yojana,business loan,names,FD Xtra,life insurance,loan against car,new car loan,home loan balance transfer,Manchester United,Sapphiro,Insta car loan,Emaralde,Insta home loan,Tax saving FD,RubyX,recurring deposit,Fixed deposit,Travel insurance"
13,53,technician,married,secondary,no,6,yes,no,unknown,5,may,517,1,-1,0,unknown,no,"loan against property,recurring deposit,RubyX,names,Pradhan mantri awas yojana,Emaralde,home loan balance transfer,Travel insurance,Flexi cash,vehicle insurance,Insta car loan,life insurance,education loan,loan against securities,money multiplier FD,FD Xtra,Sapphiro,Manchester United,business loan,old car loan,Insta PL,Tax saving FD,new car loan,loan against car,Fixed deposit,gold loan,Insta home loan"
14,58,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,-1,0,unknown,no,"money multiplier FD,Manchester United,life insurance,FD Xtra,Emaralde,Insta car loan,names,Tax saving FD,vehicle insurance,Flexi cash,gold loan,loan against securities,Sapphiro,loan against car,old car loan,business loan,loan against property,Fixed deposit,education loan,Pradhan mantri awas yojana,recurring deposit,Insta PL,new car loan,RubyX,Insta home loan,home loan balance transfer,Travel insurance"
