Original Value,Random Combination
Fixed deposit,"Pradhan mantri awas yojana,home loan balance transfer,gold loan,loan against property,business loan,recurring deposit,old car loan,Insta home loan,Manchester United,FD Xtra,money multiplier FD,Flexi cash,Tax saving FD,Travel insurance,vehicle insurance,new car loan,loan against car,loan against securities,life insurance,Insta PL,RubyX,Insta car loan,education loan,Fixed deposit,Sapphiro"
education loan,"education loan,Tax saving FD,old car loan,Manchester United,vehicle insurance,FD Xtra,loan against securities,loan against car,Sapphiro,Flexi cash,loan against property,Fixed deposit,Insta home loan,new car loan,gold loan,money multiplier FD,Insta PL,Pradhan mantri awas yojana,Travel insurance,Insta car loan,recurring deposit,business loan,life insurance,RubyX,home loan balance transfer"
business loan,"education loan,old car loan,Sapphiro,home loan balance transfer,Insta PL,new car loan,business loan,loan against property,life insurance,Tax saving FD,vehicle insurance,Fixed deposit,loan against car,RubyX,money multiplier FD,recurring deposit,FD Xtra,loan against securities,Travel insurance,Pradhan mantri awas yojana,Manchester United,Insta home loan,gold loan,Insta car loan,Flexi cash"
RubyX,"loan against car,money multiplier FD,new car loan,Insta car loan,recurring deposit,home loan balance transfer,Pradhan mantri awas yojana,Travel insurance,Sapphiro,FD Xtra,Tax saving FD,gold loan,loan against securities,Fixed deposit,old car loan,Insta home loan,education loan,life insurance,Insta PL,business loan,vehicle insurance,Manchester United,RubyX,Flexi cash,loan against property"
new car loan,"loan against securities,money multiplier FD,RubyX,life insurance,Insta PL,business loan,Flexi cash,loan against car,education loan,Insta home loan,Tax saving FD,Fixed deposit,Insta car loan,vehicle insurance,new car loan,Sapphiro,old car loan,home loan balance transfer,loan against property,Pradhan mantri awas yojana,FD Xtra,recurring deposit,Manchester United,gold loan,Travel insurance"
recurring deposit,"Pradhan mantri awas yojana,old car loan,FD Xtra,Insta home loan,Fixed deposit,RubyX,Sapphiro,Tax saving FD,money multiplier FD,home loan balance transfer,Flexi cash,new car loan,Insta car loan,Manchester United,vehicle insurance,business loan,recurring deposit,life insurance,loan against securities,Travel insurance,education loan,loan against property,loan against car,gold loan,Insta PL"
Tax saving FD,"Insta car loan,RubyX,gold loan,vehicle insurance,loan against car,money multiplier FD,recurring deposit,Insta home loan,Tax saving FD,loan against property,Insta PL,business loan,Fixed deposit,FD Xtra,Manchester United,Travel insurance,life insurance,home loan balance transfer,Flexi cash,old car loan,education loan,Sapphiro,Pradhan mantri awas yojana,new car loan,loan against securities"
Pradhan mantri awas yojana,"Sapphiro,home loan balance transfer,Insta car loan,education loan,FD Xtra,new car loan,Travel insurance,loan against car,Insta home loan,money multiplier FD,RubyX,Tax saving FD,Pradhan mantri awas yojana,Insta PL,old car loan,Manchester United,gold loan,business loan,vehicle insurance,loan against property,loan against securities,Flexi cash,life insurance,Fixed deposit,recurring deposit"
Insta car loan,"education loan,Insta car loan,new car loan,Sapphiro,Tax saving FD,Manchester United,Travel insurance,old car loan,business loan,RubyX,Insta home loan,money multiplier FD,gold loan,loan against property,loan against car,loan against securities,recurring deposit,life insurance,FD Xtra,Pradhan mantri awas yojana,Insta PL,home loan balance transfer,vehicle insurance,Flexi cash,Fixed deposit"
gold loan,"Insta car loan,Flexi cash,new car loan,recurring deposit,old car loan,education loan,vehicle insurance,loan against property,Tax saving FD,Manchester United,Insta home loan,FD Xtra,Fixed deposit,gold loan,Travel insurance,home loan balance transfer,business loan,money multiplier FD,RubyX,loan against securities,life insurance,Insta PL,Pradhan mantri awas yojana,Sapphiro,loan against car"
